year,debtRepurchase,cashBuild,dividends,shareRepo,acquisitions,capEx
2003,0,73.744305,114.183851,117.220442,76.0017643,300.596953
2004,34.3867663000001,96.2514319,127.4576159,171.189238,92.2269597,327.4186609
2005,0,50.9950902,176.1886964,258.7188201,137.5958,378.1630104
2006,0,15.4278583,165.8411151,375.097060099999,241.55374,420.3626336
2007,0,63.293404,175.774478,481.288137,500,456.139291
2008,0,58.99212,186.686077,327.059915,249.68116,499.505745
2009,0,126.5477311,184.009707,152.03768,174.655382,412.625021
2010,32.5908599,45.900292,196.652067,258.407096,179.834982,441.797643
2011,0,83.342999,216.676921,365.809767,242.984973,537.318137
2012,0,0,250.345891,332.764414,250.113956,600.96046
2013,0,0,0,1500,0,615.542243
