monthst,monthend,monthname,statper,rcount,pctbuy,pctsell,pcthold
2014-04-01 00:00:00:000,2014-04-30 00:00:00:000,4-2014,2014-04-17 00:00:00:000,26,15.3815385968857,7.69076929844286,76.9276925815563
2014-05-01 00:00:00:000,2014-05-31 00:00:00:000,5-2014,2014-05-15 00:00:00:000,26,15.3815385968857,7.69076929844286,76.9276925815563
2014-06-01 00:00:00:000,2014-06-30 00:00:00:000,6-2014,2014-06-19 00:00:00:000,24,16.6700000762939,8.32999992370605,75
2014-07-01 00:00:00:000,2014-07-31 00:00:00:000,7-2014,2014-07-17 00:00:00:000,24,16.6700000762939,8.32999992370605,75
2014-08-01 00:00:00:000,2014-08-31 00:00:00:000,8-2014,2014-08-14 00:00:00:000,24,16.6699997583389,12.4999997615814,70.8300004800796
2014-09-01 00:00:00:000,2014-09-30 00:00:00:000,9-2014,2014-09-18 00:00:00:000,22,18.1799996116638,9.08999980583192,72.7300005825042
2014-10-01 00:00:00:000,2014-10-31 00:00:00:000,10-2014,2014-10-16 00:00:00:000,23,17.3899993896484,13.039999961853,69.5699996948242
2014-11-01 00:00:00:000,2014-11-30 00:00:00:000,11-2014,2014-11-20 00:00:00:000,24,12.5,12.5,75
2014-12-01 00:00:00:000,2014-12-31 00:00:00:000,12-2014,2014-12-18 00:00:00:000,24,12.5,12.5,75
2015-01-01 00:00:00:000,2015-01-31 00:00:00:000,1-2015,2015-01-15 00:00:00:000,24,12.5,12.5,75
2015-02-01 00:00:00:000,2015-02-28 00:00:00:000,2-2015,2015-02-19 00:00:00:000,25,12,12,76
2015-03-01 00:00:00:000,2015-03-31 00:00:00:000,3-2015,2015-03-19 00:00:00:000,25,12,16,72
